TIME,Process_69a,Process_69b,Process_96-97a,Process_96-97b,Process_131a,Process_131b,Process_131c,Process_131d,Process_131e,Process_131f,Process_131g,Process_131h,Process_131i,Process_131j
148,183.10185,185.71887,210.6756,203.8267,181.81325,174.22908,169.14075,166.58995,159.08469,162.97975,150.02594,140.09323,135.15565,130.96581
149,183.00201,185.58459,210.6645,203.7876,181.82703,174.246,169.20547,166.58237,159.08636,162.99083,150.07008,140.13911,135.18137,131.02277
150,182.72205,185.46022,210.6427,203.7127,181.78482,174.21477,169.1916,166.54295,159.10625,162.99953,150.09032,140.10344,135.18854,131.03874
151,182.29572,185.48257,210.6317,203.6536,181.76355,174.21071,169.17361,166.53381,159.13712,163.00081,150.06001,140.07169,135.17064,131.0387
152,181.90256,185.71674,210.6201,203.6106,181.77008,174.23415,169.17393,166.58835,159.12563,163.04402,150.06802,140.04315,135.18483,131.07243
153,181.91643,186.34094,210.596,203.5816,181.76726,174.22768,169.17252,166.57832,159.13626,163.04475,150.10616,140.03447,135.18465,131.11374
154,182.31705,186.95145,210.5953,203.5541,181.74142,174.19458,169.17014,166.57265,159.14925,163.01466,150.10194,140.00865,135.19847,131.14586
155,182.76099,187.56633,210.5291,203.4941,181.73242,174.23161,169.17012,166.571,159.12038,163.03178,150.12288,140.03456,135.23656,131.18462
156,182.8604,187.79248,210.5442,203.5376,181.74156,174.2066,169.1687,166.56897,159.13261,162.96941,150.13739,140.03017,135.18755,131.16936
157,182.82062,187.44144,210.6036,203.5443,181.73328,174.1967,169.16064,166.55661,159.14,162.97128,150.09164,140.03647,135.21269,131.19365
158,182.97771,187.01077,210.4388,203.406,181.77463,174.21483,169.18974,166.57196,159.14293,162.95802,150.0914,140.04272,135.20892,131.19867
159,183.46359,186.69392,210.4105,203.3898,181.73021,174.21011,169.19594,166.55899,159.1416,162.90297,150.13177,139.99687,135.1757,131.18602
160,183.83717,186.31905,210.3612,203.3683,181.7655,174.26567,169.19685,166.58084,159.14209,162.95447,150.12227,140.03906,135.24731,131.24466
161,183.76157,185.68443,210.3034,203.3184,181.75183,174.21855,169.21925,166.55031,159.14679,162.95045,150.093,140.00537,135.19713,131.17865
162,183.4593,185.15987,210.2934,203.3307,181.70927,174.17039,169.19363,166.51222,159.071,162.88078,150.05771,139.98,135.18277,131.13959
